Producto;CONSUMO X CAPITA;VALOR (Miles Euros);Fecha
ARROZ;0.32385637693424;24025.32;01/06/2018
TOTAL PASTAS;0.32886943817847;28934.2107;01/06/2018
LEGUMBRES;0.2243675344175;18825.1975;01/06/2018
TOTAL ACEITE;0.97814908097537;134123.2873;01/06/2018
TOTAL VINOS;0.60759516457987;78511.99;01/06/2018
CERVEZAS;1.782747233265;102579.47;01/06/2018
SIDRAS;0.02051247876129;2205.1;01/06/2018
T.BEBIDAS ESPIRITUOSA;0.05521721544165;26061;01/06/2018
TOTAL PATATAS;2.32590434730492;95113.32;01/06/2018
T.HORTALIZAS FRESCAS;4.81754541122652;380514.001;01/06/2018
T.FRUTAS FRESCAS;8.59962233196834;636499.875;01/06/2018
BEBIDAS REFRESCANTES;3.336537769207;134382.031;01/06/2018
T.HUEVOS KGS;0.68604111944934;72592.6556;01/07/2018
TOTAL CARNE;3.43624711755757;1059167.0347;01/07/2018
CARNE CERTIFICADA;0.54897927922301;201386.4;01/07/2018
CARNE FRESCA;2.45150623705146;687106.513;01/07/2018
CARNE CONGELADA;0.09101103374234;18818.916;01/07/2018
CARNE TRANSFORMADA;0.89372984676376;353241.6057;01/07/2018
PESCADOS;1.0213435787842;344474.689;01/07/2018
PESCADOS FRESCOS;0.8418045097521;286362.941;01/07/2018
PESCADOS CONGELADOS;0.17953906903209;58111.748;01/07/2018
TOTAL LECHE LIQUIDA;5.30313656333717;166591.1036;01/07/2018
PAN;2.57073296527356;283908.766;01/07/2018
BOLL.PAST.GALLET.CERE;0.94876120561973;185333.164648;01/07/2018
ARROZ;0.29398075112685;21936.88;01/07/2018
TOTAL PASTAS;0.30849883330338;26573.349140000002;01/07/2018
LEGUMBRES;0.20022061480812;17780.0618;01/07/2018
TOTAL ACEITE;0.9419186912292;123924.29579999999;01/07/2018
TOTAL VINOS;0.58396087565565;66417.76;01/07/2018
CERVEZAS;1.88768983115924;108693.72;01/07/2018
SIDRAS;0.02719834407679;3009.287;01/07/2018
T.BEBIDAS ESPIRITUOSA;0.05938572547731;27195.83;01/07/2018
TOTAL PATATAS;2.36163036357508;99463.959;01/07/2018
T.HORTALIZAS FRESCAS;4.91897205527944;378657.187;01/07/2018
T.FRUTAS FRESCAS;8.92767298108016;589757.567;01/07/2018
BEBIDAS REFRESCANTES;3.51810711460093;141329.095;01/07/2018
T.HUEVOS KGS;0.67262601567972;70583.1656;01/08/2018
TOTAL CARNE;3.26087609617495;991533.8009;01/08/2018
CARNE CERTIFICADA;0.50961487538671;183970.9;01/08/2018
CARNE FRESCA;2.33937003875243;648761.741;01/08/2018
CARNE CONGELADA;0.09094977524326;18746.332;01/08/2018
CARNE TRANSFORMADA;0.83055628217924;324025.7279;01/08/2018
PESCADOS;0.90771365178849;312803.193;01/08/2018
PESCADOS FRESCOS;0.71723461117666;250386.539;01/08/2018
PESCADOS CONGELADOS;0.19047904061183;62416.654;01/08/2018
TOTAL LECHE LIQUIDA;5.24891483685514;166012.1878;01/08/2018
PAN;2.34518203801375;254679.142;01/08/2018
BOLL.PAST.GALLET.CERE;0.90096456973557;170776.23125;01/08/2018
ARROZ;0.27869987397364;21007.96;01/08/2018
TOTAL PASTAS;0.29580298876967;25580.526;01/08/2018
LEGUMBRES;0.19087553369415;16137.68166;01/08/2018
TOTAL ACEITE;0.90155913174577;117585.63090999999;01/08/2018
TOTAL VINOS;0.57183474327159;69174.25;01/08/2018
CERVEZAS;1.82345825467607;104768.27;01/08/2018
SIDRAS;0.02395747714215;2811.924;01/08/2018
T.BEBIDAS ESPIRITUOSA;0.05867621470077;28446.61;01/08/2018
TOTAL PATATAS;2.19693364332721;90625.663;01/08/2018
T.HORTALIZAS FRESCAS;4.66638713045486;361096.916;01/08/2018
T.FRUTAS FRESCAS;8.26463281121804;522444.544;01/08/2018
BEBIDAS REFRESCANTES;3.67055890647006;145937.854;01/08/2018
T.HUEVOS KGS;0.67969352534519;71527.7819;01/09/2018
